
H2CO                PRODUCTION RXS              INT RX RATE    TP =  6.36E+10
  60) CH4     + O1D     = H2CO    + H2           6.194E+08
  62) CH21    + O2      = H2CO    + O            1.663E-20
  66) CH23    + O2      = H2CO    + O            1.042E-21
  68) CH3     + OH      = H2CO    + H2           1.745E+03
  69) CH3     + O       = H2CO    + H            4.037E+04
  70) CH3     + O3      = H2CO    + HO2          2.907E+06
  74) H3CO    + O2      = H2CO    + HO2          6.297E+10
  75) H3CO    + O       = H2CO    + OH           1.727E+02
  76) H3CO    + OH      = H2CO    + H2O          5.091E+04

H2CO                   LOSS RXS                INT RX RATE    TL =  6.16E+10
  38) H2CO    + HV      = H2      + CO           2.341E+10
  39) H2CO    + HV      = HCO     + H            1.563E+10
  41) H2CO    + H       = H2      + HCO          1.954E+04
  45) H2CO    + OH      = H2O     + HCO          1.261E+10
  48) H2CO    + O       = HCO     + OH           4.516E+08
 109) CL      + H2CO    = HCL     + HCO          4.798E+08
 185) HS      + H2CO    = H2S     + HCO          3.270E+05

O                   PRODUCTION RXS              INT RX RATE    TP =  1.01E+14
   8) H       + HO2     = H2O     + O            1.474E+04
  20) OH      + OH      = H2O     + O            4.876E+05
  21) O1D     + N2      = O       + N2           2.360E+12
  22) O1D     + O2      = O       + O2           9.355E+11
  23) O2      + HV      = O       + O1D          5.015E-21
  24) O2      + HV      = O       + O            4.042E+09
  27) O3      + HV      = O2      + O            9.705E+13
  29) CO2     + HV      = CO      + O            9.441E+04
  50) HO2     + HV      = OH      + O            3.824E+06
  53) N2O     + HV      = N2      + O            2.560E+07
  56) NO      + HV      = N       + O            2.304E+07
  57) NO2     + HV      = NO      + O            9.460E+11
  62) CH21    + O2      = H2CO    + O            1.663E-20
  66) CH23    + O2      = H2CO    + O            1.042E-21
  79) N       + O2      = NO      + O            1.725E+07
  82) N       + NO      = N2      + O            5.722E+06
 133) CLO2    + HV      = CLO     + O            1.425E+01
 151) NO3     + HV      = NO2     + O            1.653E+10
 157) SO2     + HV      = SO      + O            8.941E+05
 159) SO      + O2      = O       + SO2          6.763E+07
 180) S       + O2      = SO      + O            3.832E+05
 194) SO21    + O2      = SO3     + O            1.150E+05
 211) HSO     + HV      = HS      + O            3.842E+03

O                      LOSS RXS                INT RX RATE    TL =  1.01E+14
   3) H2      + O       = OH      + H            9.998E+05
  10) OH      + O       = H       + O2           2.268E+08
  13) HO2     + O       = OH      + O2           1.635E+10
  17) O       + O       = O2      +              3.327E+04
  18) O       + O2      = O3      +              1.013E+14
  19) O       + O3      = O2      + O2           6.762E+08
  31) CO      + O       = CO2     +              2.485E+07
  36) O       + HCO     = H       + CO2          1.334E+02
  37) O       + HCO     = OH      + CO           1.334E+02
  48) H2CO    + O       = HCO     + OH           4.516E+08
  49) H2O2    + O       = OH      + HO2          4.230E+06
  69) CH3     + O       = H2CO    + H            4.037E+04
  75) H3CO    + O       = H2CO    + OH           1.727E+02
  84) NO      + O       = NO2     +              1.583E+07
  87) NO2     + O       = NO      + O2           2.588E+10
  93) HO2NO2  + O       = NO2     + OH      O2   3.097E+04
 100) O       + NO3     = O2      + NO2          3.970E+05
 120) CLO     + O       = CL      + O2           1.627E+08
 128) HCL     + O       = CL      + OH           2.569E+05
 129) HOCL    + O       = CLO     + OH           4.822E+04
 130) CLONO2  + O       = CL      + O2      NO2  1.534E+06
 149) CLO2    + O       = CLO     + O2           4.829E-01
 150) NO2     + O       = NO3     +              4.712E+07
 161) SO      + O       = SO2     +              1.622E+00
 164) SO2     + O       = SO3     +              9.704E+04
 169) HSO3    + O       = OH      + SO3          6.413E-03
 172) H2S     + O       = OH      + HS           2.244E+05
 173) HS      + O       = H       + SO           2.548E+02
 216) HSO     + O       = OH      + SO           1.407E+07

H2O                 PRODUCTION RXS              INT RX RATE    TP =  4.96E+10
   4) H2      + OH      = H2O     + H            5.518E+09
   8) H       + HO2     = H2O     + O            1.474E+04
  11) OH      + HO2     = H2O     + O2           2.076E+09
  16) H2O2    + OH      = HO2     + H2O          2.439E+09
  20) OH      + OH      = H2O     + O            4.876E+05
  35) OH      + HCO     = H2O     + CO           4.067E+00
  45) H2CO    + OH      = H2O     + HCO          1.261E+10
  46) H       + OH      = H2O     +              1.604E+01
  58) CH4     + OH      = CH3     + H2O          6.935E+10
  76) H3CO    + OH      = H2CO    + H2O          5.091E+04
  90) HNO3    + OH      = H2O     + NO3          5.858E+07
  92) HO2NO2  + OH      = NO2     + H2O     O2   9.025E+08
  96) CH3OOH  + OH      = CH3O2   + H2O          7.005E+09
 104) CH3CL   + OH      = CL      + H2O          3.445E+08
 125) HCL     + OH      = CL      + H2O          2.797E+09
 126) HOCL    + OH      = CLO     + H2O          2.242E+06
 167) HSO3    + OH      = H2O     + SO3          4.249E-04
 170) H2S     + OH      = H2O     + HS           8.851E+07
 212) HSO     + OH      = H2O     + SO           1.455E+07

H2O                    LOSS RXS                INT RX RATE    TL =  1.65E+09
   1) H2O     + O1D     = OH      + OH           2.370E+10
  25) H2O     + HV      = H       + OH           5.026E+06
 155) N2O5    + H2O     = HNO3    + HNO3         2.630E+09
 165) SO3     + H2O     = H2SO4   +              1.589E+07

OH                  PRODUCTION RXS              INT RX RATE    TP =  3.87E+11
   1) H2O     + O1D     = OH      + OH           2.370E+10
   2) H2      + O1D     = OH      + H            3.914E+08
   3) H2      + O       = OH      + H            9.998E+05
   5) H       + O3      = OH      + O2           5.451E+08
   9) H       + HO2     = OH      + OH           6.634E+05
  13) HO2     + O       = OH      + O2           1.635E+10
  14) HO2     + O3      = OH      + O2      O2   8.905E+10
  25) H2O     + HV      = H       + OH           5.026E+06
  28) H2O2    + HV      = OH      + OH           1.948E+10
  37) O       + HCO     = OH      + CO           1.334E+02
  48) H2CO    + O       = HCO     + OH           4.516E+08
  49) H2O2    + O       = OH      + HO2          4.230E+06
  50) HO2     + HV      = OH      + O            3.824E+06
  52) CH3OOH  + HV      = H3CO    + OH           8.749E+09
  54) HNO2    + HV      = NO      + OH           1.184E+07
  55) HNO3    + HV      = NO2     + OH           1.915E+08
  59) CH4     + O1D     = CH3     + OH           6.194E+09
  75) H3CO    + O       = H2CO    + OH           1.727E+02
  85) NO      + HO2     = NO2     + OH           1.784E+11
  89) NO2     + H       = NO      + OH           8.747E+06
  93) HO2NO2  + O       = NO2     + OH      O2   3.097E+04
 112) CL      + HO2     = CLO     + OH           3.997E+05
 128) HCL     + O       = CL      + OH           2.569E+05
 129) HOCL    + O       = CLO     + OH           4.822E+04
 135) HOCL    + HV      = OH      + CL           2.141E+08
 146) CL      + HOCL    = CL2     + OH           6.477E+04
 160) SO      + HO2     = SO2     + OH           1.680E+04
 169) HSO3    + O       = OH      + SO3          6.413E-03
 172) H2S     + O       = OH      + HS           2.244E+05
 174) HS      + O2      = OH      + SO           3.787E+07
 184) S       + HO2     = SO      + OH           1.323E-03
 188) H2SO4   + HV      = SO2     + OH      OH   1.190E+00
 213) HSO     + H       = HS      + OH           5.415E+02
 216) HSO     + O       = OH      + SO           1.407E+07

OH                     LOSS RXS                INT RX RATE    TL =  3.87E+11
   4) H2      + OH      = H2O     + H            5.518E+09
  10) OH      + O       = H       + O2           2.268E+08
  11) OH      + HO2     = H2O     + O2           2.076E+09
  12) OH      + O3      = HO2     + O2           1.451E+09
  16) H2O2    + OH      = HO2     + H2O          2.439E+09
  20) OH      + OH      = H2O     + O            4.876E+05
  30) CO      + OH      = CO2     + H            2.809E+11
  35) OH      + HCO     = H2O     + CO           4.067E+00
  45) H2CO    + OH      = H2O     + HCO          1.261E+10
